date_new,Id_check,ID_client,Count_products,Sum_payment
2016-03-01,2271145,104027,2.034,23.31
2016-03-01,2271145,104027,1.000,31.75
2016-03-01,2271145,104027,1.000,29373
2016-03-01,2271145,104027,1.000,45444
2016-03-01,2271145,104027,1.000,36.98
2016-03-01,2271145,104027,1.000,34243
2016-03-01,2271145,104027,1.000,60.96
2016-03-01,2271145,104027,1.000,72.17
2016-03-01,2271145,104027,1.000,60.96
2015-07-01,1771932,112005,1.000,42036
2015-07-01,1771932,112005,1.000,23224
2015-07-01,1771932,112005,1.000,21002
2015-07-01,1771932,112005,1.000,42856
2015-07-01,1771932,112005,0.846,46177
2015-07-01,1771932,112005,1.000,35704
2015-07-01,1771932,112005,1.000,15.92
2015-07-01,1771932,112005,1.000,45292
2015-07-01,1771932,112005,1.000,18323
2015-08-01,1795365,112005,1.032,13516
2015-08-01,1795365,112005,1.000,16528
2015-08-01,1795365,112005,1.000,27791
2015-08-01,1795365,112005,1.000,45292
2015-08-01,1795365,112005,1.000,35125
2015-08-01,1795365,112005,1.000,22678
2015-08-01,1795365,112005,1.000,0.66
2015-08-01,1795365,112005,1.000,0.66
2015-08-01,1795365,112005,0.918,15067
2015-08-01,1795365,112005,1.000,25842
2015-08-01,1795365,112005,0.118,46296
2015-08-01,1795365,112005,1.084,24.92
2015-08-01,1795365,112005,0.320,45383
2015-08-01,1795365,112005,0.366,33025
2015-08-01,1795365,112005,2.000,14.88
2015-08-01,1795365,112005,1.000,43862
2015-08-01,1795365,112005,1.000,20149
2015-08-01,1795365,112005,1.000,46055
2015-08-01,1795365,112005,1.000,41306
2015-08-01,1840418,112005,1.000,12816
2015-08-01,1840418,112005,1.000,27120
2015-08-01,1840418,112005,1.000,27150
2015-08-01,1840418,112005,1.000,28946
2015-08-01,1840418,112005,1.000,46125
2015-08-01,1840418,112005,1.000,0.82
2015-08-01,1840418,112005,1.000,20972
2015-08-01,1840418,112005,1.000,15.92
2015-08-01,1840418,112005,30.000,14916
2015-08-01,1840418,112005,1.726,46329
2015-10-01,1951445,112005,1.000,46114
2015-10-01,1951445,112005,2.000,46357
2015-10-01,1951445,112005,2.000,24108
2015-10-01,1951445,112005,1.000,22313
2015-10-01,1951445,112005,1.000,12936
2015-10-01,1951445,112005,1.000,27760
2015-10-01,1951445,112005,1.000,22678
2015-10-01,1951445,112005,5.000,12875
